Time:6,End Time,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Event Id,Event Date,Event Duration
227.1171875000,227.6171875000,0.1059604292,0.0190147866,0.0759211783,0.0376136308,0.0292617945,0.3093195379,,,
227.2167968750,227.7167968750,0.1034481385,0.0179551164,0.0918935790,0.0240691107,0.0269554508,0.3433855422,,,
227.3164062500,227.8164062500,0.1003545278,0.0201885655,0.0947915477,0.0130306845,0.0237424047,0.3732683411,,,
227.4160156250,227.9160156250,0.1006847310,0.0235410755,0.0840758703,0.0121060881,0.0187345474,0.3931431873,,,
227.5156250000,228.0156250000,0.1068051236,0.0252213880,0.0699469231,0.0193778696,0.0146467507,0.3932660679,,,
227.6152343750,228.1152343750,0.1116324068,0.0242662372,0.0613252708,0.0284521337,0.0156978167,0.3793595926,,,
227.7148437500,228.2148437500,0.1025574860,0.0234229742,0.0605046199,0.0354162110,0.0228414328,0.3491371403,,,
227.8144531250,228.3144531250,0.0804084494,0.0254955197,0.0644021782,0.0380578896,0.0329370531,0.2829511875,,,
227.9140625000,228.4140625000,0.0586734519,0.0295229056,0.0673805088,0.0352510422,0.0415817825,0.1894486256,,,
228.0136718750,228.5136718750,0.0458999108,0.0332868356,0.0647787359,0.0276391753,0.0452450072,0.1190661302,,,
228.1132812500,228.6132812500,0.0445172310,0.0362162969,0.0587678666,0.0191781728,0.0416221270,0.0941113809,,,
228.2128906250,228.7128906250,0.0526591573,0.0392553239,0.0536932707,0.0149757386,0.0309361431,0.1046136028,,,
228.3125000000,228.8125000000,0.0644397064,0.0432263771,0.0491008666,0.0181781024,0.0175687453,0.1366436690,,,
228.4121093750,228.9121093750,0.0726700070,0.0478860370,0.0432382797,0.0256330897,0.0108119169,0.1691393767,,,
228.5117187500,229.0117187500,0.0754640367,0.0518159192,0.0353724323,0.0319179872,0.0204736772,0.1736930701,,,
228.6113281250,229.1113281250,0.0740908160,0.0527659745,0.0250166247,0.0337727335,0.0451385767,0.1480969369,,,
228.7109375000,229.2109375000,0.0721314023,0.0486302292,0.0141496897,0.0305041171,0.0732261541,0.1104214611,,,
228.8105468750,229.3105468750,0.0732913633,0.0395362443,0.0072130187,0.0241074958,0.0936778471,0.0779908476,,,
228.9101562500,229.4101562500,0.0767799138,0.0280726028,0.0095742411,0.0189783652,0.1005248337,0.0571595694,,,
229.0097656250,229.5097656250,0.0785788726,0.0174525280,0.0305851756,0.0167274398,0.0909600178,0.0663751112,,,
229.1093750000,229.6093750000,0.0785331056,0.0097966113,0.0748214292,0.0168420855,0.0676189855,0.1201125587,,,
229.2089843750,229.7089843750,0.0790521071,0.0053452027,0.1324532842,0.0175731479,0.0404896452,0.1951283917,,,
229.3085937500,229.8085937500,0.0792388607,0.0029307727,0.1864042452,0.0155736688,0.0207607534,0.2565958671,,,
